Num;Lat;Lng;Dist (m);Slope (rad);Altitude (m)
0;48.78816;2.04723;0;0;166.3846893310547
1;48.78816547368421;2.047240736842105;0.9945668119795935;0.015326803679551942;166.3999328613281
2;48.78817094736842;2.0472514736842102;1.989133556100064;0.0017950311840471632;166.4017181396484
3;48.78817642105263;2.047262210526316;2.9837002323871387;0.010770187838881073;166.4124298095703
4;48.78818189473684;2.047272947368421;3.978266840305843;0.0010125818322053463;166.4134368896484
5;48.78818736842105;2.047283684210526;4.972833380848927;0.008407498206919817;166.4217987060547
6;48.78819284210526;2.0472944210526314;5.967399853532876;0.00023013226586194392;166.4220275878906
7;48.78819831578947;2.0473051578947365;6.961966258357688;0.005477148301899494;166.4274749755859
8;48.788203789473684;2.047315894736842;7.956532595349088;-0.0007671076575992884;166.4267120361328
9;48.788209263157896;2.0473266315789473;8.951098864455616;-0.0007364234015878843;166.4259796142578
10;48.7882147368421;2.0473373684210525;9.945665065219487;-0.004955516147070502;166.4210510253906
11;48.78822021052631;2.0473481052631577;10.94023119860772;-0.003743486135516557;166.4173278808594
12;48.78822568421052;2.047358842105263;11.9347972641368;-0.01564900048698854;166.4017639160156
13;48.788231157894735;2.0473695789473685;12.929363261832455;-0.007471631134209587;166.3943328857422
14;48.78823663157895;2.0473803157894737;13.923929191643222;-0.02542195818169802;166.3690490722656
15;48.78824210526316;2.047391052631579;14.918495053594828;-0.00918995412779794;166.3599090576172
16;48.78824757894736;2.047401789473684;15.91306084720376;-0.030638296584897192;166.3294372558594
17;48.788253052631575;2.047412526315789;16.907626573437035;-0.002638851962802571;166.3268127441406
18;48.788258526315786;2.047423263157895;17.90219223183687;-0.014022737549107872;166.3128662109375
19;48.788264;2.047434;18.896757822351805;0.007747793157212812;166.3205718994141
20;48.78826947368421;2.047444736842105;19.891323345007564;-0.010233224531562819;166.3103942871094
21;48.78827494736842;2.0474554736842103;20.885888799804142;0.017996361610955913;166.3282928466797
22;48.78828042105263;2.0474662105263155;21.88045418674154;-0.0052009948869385795;166.3231201171875
23;48.78828589473684;2.047476947368421;22.875019505361976;-0.0026848795508102445;166.3204498291016
24;48.78829136842105;2.0474876842105263;23.869584756581006;0.011521969596126025;166.3319091796875
25;48.78829684210526;2.0474984210526315;24.864149939940845;0.00240872083890931;166.3343048095703
26;48.78830231578947;2.0475091578947366;25.85871505544149;0.014237535611604527;166.3484649658203
27;48.788307789473684;2.047519894736842;26.853280103082938;0.006965346561095349;166.3553924560547
28;48.788313263157896;2.0475306315789474;27.847845082890917;0.015296147566194875;166.37060546875
29;48.7883187368421;2.0475413684210526;28.842409994330453;0.021402334324642554;166.3918914794922
30;48.78832421052631;2.047552105263158;29.836974838394298;0.016155311520121528;166.407958984375
31;48.788329684210524;2.047562842105263;30.831539614598935;0.0239644808320585;166.4317932128906
32;48.788335157894736;2.047573578947368;31.82610432294436;0.02568280643407371;166.4573364257812
33;48.78834063157895;2.0475843157894738;32.820668963456306;0.015787102522884438;166.4730377197266
34;48.78834610526316;2.047595052631579;33.815233536083305;0.032111183513662156;166.5049743652344
35;48.78835157894736;2.047605789473684;34.809798040367575;0.011399240797928829;166.5163116455078
36;48.788357052631575;2.0476165263157893;35.80436247727613;0.02149439763102693;166.5376892089844
37;48.78836252631579;2.0476272631578945;36.798926846325465;0.01158334855007868;166.5492095947266
38;48.788368;2.047638;37.7934911475413;0.02209274576127342;166.5711822509766
39;48.78837347368421;2.0476487368421052;38.78805538087218;0.011782798543592286;166.5829010009766
40;48.78837894736842;2.0476594736842104;39.782619546343824;0.02267575186928573;166.6054534912109
41;48.78838442105263;2.0476702105263156;40.77718364395623;0.004341839118317318;166.6097717285156
42;48.78838989473684;2.0476809473684208;41.77174767322588;0.011414588431110475;166.6211242675781
43;48.78839536842105;2.0476916842105264;42.766311635145534;0.008422862194949763;166.6295013427734
44;48.78840084210526;2.0477024210526316;43.76087552918021;0.0005369766793171751;166.6300354003906
45;48.78840631578947;2.0477131578947367;44.75543935535564;0.006090850178120177;166.6360931396484
46;48.788411789473685;2.047723894736842;45.750003113671816;0.00042958140210312923;166.6365203857422
47;48.788417263157896;2.047734631578947;46.74456680412874;0.005753322741734361;166.6422424316406
48;48.7884227368421;2.0477453684210527;47.73913042626862;0.00010739536528043281;166.6423492431641
49;48.78842821052631;2.047756105263158;48.73369398100703;0.0010432693328426747;166.6433868408203
50;48.788433684210524;2.047766842105263;49.72825746788617;-0.003973629053703789;166.6394348144531
51;48.788439157894736;2.0477775789473682;50.72282088690606;-0.0005830035301933264;166.6388549804688
52;48.78844463157895;2.0477883157894734;51.71738423806667;-0.004525948767608894;166.6343536376953
53;48.78845010526316;2.047799052631579;52.71194752139374;-0.0021939346369289864;166.6321716308594
54;48.788455578947364;2.047809789473684;53.70651073635229;-0.0032985732823740672;166.6288909912109
55;48.788461052631575;2.0478205263157894;54.70107388393508;-0.005599903858642506;166.6233215332031
56;48.78846652631579;2.0478312631578945;55.69563696365859;-0.00490950508775917;166.6184387207031
57;48.788472;2.0478419999999997;56.69019997552282;-0.0062289350050104796;166.6122436523438
58;48.78847747368421;2.0478527368421053;57.68476291955349;-0.006704543800288751;166.6055755615234
59;48.78848294736842;2.0478634736842105;58.67932579569914;-0.006857966323197248;166.5987548828125
60;48.788488421052634;2.0478742105263157;59.6738886039855;-0.016017264720319332;166.5828247070312
61;48.78849389473684;2.047884947368421;60.66845134392906;-0.006443727629045184;166.576416015625
62;48.78849936842105;2.047895684210526;61.663014016496824;-0.02126430261654076;166.5552673339844
